capacity_mw,country,geopoint,latitude,longitude,parent,plant,region,status,subnational_unit,unit,url
315,Indonesia,"-6.05887,106.4643",-6.05887,106.4643,Pt Pln (Persero),Banten Lontar Power Station,Asia,Operating,Banten,Unit 3,https://www.gem.wiki/Banten_Lontar_power_station
660,Indonesia,"-5.88297,106.04593",-5.88297,106.04593,Genting Group,Banten Serang Power Station,Asia,Shelved,Banten,Unit 2,https://www.gem.wiki/Banten_Serang_power_station
400,Indonesia,"-5.89191,106.03023",-5.89191,106.03023,Pt Pln (Persero),Banten Suralaya Power Station,Asia,Operating,Banten,"Phase I, Unit 2",https://www.gem.wiki/Banten_Suralaya_power_station
600,Indonesia,"-5.89191,106.03023",-5.89191,106.03023,Pt Pln (Persero),Banten Suralaya Power Station,Asia,Operating,Banten,"Phase Ii, Unit 2",https://www.gem.wiki/Banten_Suralaya_power_station
50,Indonesia,"-4.29329,119.63135",-4.29329,119.63135,Pt Pln (Persero),Barru Power Station,Asia,Operating,South Sulawesi,Unit 1,https://www.gem.wiki/Barru_power_station
100,Indonesia,"-4.29329,119.63135",-4.29329,119.63135,Pt Pln (Persero),Barru Power Station,Asia,Construction,South Sulawesi,"Phase Ii, Unit 1",https://www.gem.wiki/Barru_power_station
50,Indonesia,"0.83511,108.87368",0.83511,108.87368,Pt Pln (Persero),Bengkayang Power Station,Asia,Operating,West Kalimantan,Unit 1,https://www.gem.wiki/Bengkayang_Power_Station
375,Indonesia,"-5.971,106.094",-5.971,106.094,Pt Indika Energy Tbk,Bojonegara Serang Power Station,Asia,Cancelled,Banten,Unit 2,https://www.gem.wiki/Bojonegara_Serang_power_station
150,Indonesia,"1.589,101.638",1.589,101.638,Btn Power,Btn Dumai Power Station,Asia,Cancelled,Riau,Unit 2,https://www.gem.wiki/BTN_Dumai_power_station
65,Indonesia,"-3.73213,103.79753",-3.73213,103.79753,Pt Pln (Persero),Bukit Asam Muara Enim Power Station,Asia,Operating,South Sumatra,Unit 3,https://www.gem.wiki/Bukit_Asam_Muara_Enim_power_station
